zone 1,zone 2,zone 3,zone 4,zone 5,zone 6
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,ROBBERY,AGG ASSAULT,LARCENY-NON VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,BURGLARY,BURGLARY,AUTO THEFT
BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,ROBBERY,AUTO THEFT,LARCENY-NON VEHICLE
AGG ASSAULT,AUTO THEFT,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,ROBBERY,LARCENY-NON VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,AUTO THEFT
BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE
AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE,ROBBERY,BURGLARY,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,BURGLARY,AUTO THEFT
BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,AUTO THEFT,BURGLARY,ROBBERY,LARCENY-NON VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,ROBBERY,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,AGG ASSAULT,BURGLARY,AUTO THEFT
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,ROBBERY,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,HOMICIDE,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,AUTO THEFT
LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,ROBBERY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,AGG ASSAULT,ROBBERY,LARCENY-NON VEHICLE
AGG ASSAULT,HOMICIDE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE
AUTO THEFT,AUTO THEFT,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,HOMICIDE,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT
AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,BURGLARY,ROBBERY,AGG ASSAULT
AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,ROBBERY,BURGLARY,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,HOMICIDE,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE
BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT
BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,ROBBERY,LARCENY-NON VEHICLE
AGG ASSAULT,HOMICIDE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,AGG ASSAULT,BURGLARY,AGG ASSAULT,BURGLARY,AUTO THEFT
AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE
BURGLARY,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,HOMICIDE,AGG ASSAULT,ROBBERY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
BURGLARY,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,ROBBERY,AUTO THEFT
BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,AGG ASSAULT
AUTO THEFT,AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,HOMICIDE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT
BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,BURGLARY,ROBBERY,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,ROBBERY,AUTO THEFT,LARCENY-NON VEHICLE
BURGLARY,AUTO THEFT,BURGLARY,AUTO THEFT,AUTO THEFT,AUTO THEFT
AUTO THEFT,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,AUTO THEFT,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT
BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,AUTO THEFT,ROBBERY,ROBBERY,LARCENY-NON VEHICLE
BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE
AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT,AUTO THEFT,AUTO THEFT
AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE
BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
BURGLARY,AUTO THEFT,AUTO THEFT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT
AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,ROBBERY,AGG ASSAULT
AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE
AGG ASSAULT,AUTO THEFT,ROBBERY,AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE
BURGLARY,AGG ASSAULT,AUTO THEFT,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,BURGLARY,AUTO THEFT
BURGLARY,LARCENY-FROM VEHICLE,ROBBERY,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE
BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,ROBBERY,AUTO THEFT,ROBBERY,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,BURGLARY,AGG ASSAULT,AUTO THEFT
BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,AGG ASSAULT
BURGLARY,LARCENY-FROM VEHICLE,ROBBERY,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,AUTO THEFT,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
AGG ASSAULT,ROBBERY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,ROBBERY,LARCENY-FROM VEHICLE,ROBBERY,LARCENY-NON VEHICLE
BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT,AUTO THEFT
AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT,AUTO THEFT,AGG ASSAULT
LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,BURGLARY,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,ROBBERY,AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,ROBBERY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,ROBBERY,LARCENY-FROM VEHICLE,AUTO THEFT,AUTO THEFT
BURGLARY,LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,AUTO THEFT,ROBBERY,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,ROBBERY,LARCENY-NON VEHICLE,BURGLARY,ROBBERY,AUTO THEFT
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE
AGG ASSAULT,AUTO THEFT,BURGLARY,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,AGG ASSAULT,BURGLARY,AUTO THEFT
LARCENY-FROM VEHICLE,AUTO THEFT,ROBBERY,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE
AUTO THEFT,ROBBERY,AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,BURGLARY,AUTO THEFT,AUTO THEFT
AGG ASSAULT,AUTO THEFT,ROBBERY,AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY
AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,AUTO THEFT,BURGLARY,AUTO THEFT,ROBBERY,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,ROBBERY,LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE
AUTO THEFT,BURGLARY,AGG ASSAULT,AUTO THEFT,AUTO THEFT,AUTO THEFT
LARCENY-NON VEHICLE,AUTO THEFT,ROBBERY,AUTO THEFT,AUTO THEFT,BURGLARY
AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,AUTO THEFT,ROBBERY,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,ROBBERY,LARCENY-NON VEHICLE,AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT
AUTO THEFT,AUTO THEFT,BURGLARY,AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY
LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,ROBBERY,LARCENY-FROM VEHICLE
AGG ASSAULT,AUTO THEFT,ROBBERY,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,ROBBERY,AUTO THEFT,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,AUTO THEFT
LARCENY-FROM VEHICLE,AUTO THEFT,ROBBERY,AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY
AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,AUTO THEFT,BURGLARY,AUTO THEFT,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY
AGG ASSAULT,ROBBERY,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
ROBBERY,BURGLARY,AGG ASSAULT,AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT
ROBBERY,ROBBERY,AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE,BURGLARY
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE
ROBBERY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,ROBBERY,AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,LARCENY-NON VEHICLE
ROBBERY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,ROBBERY,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
ROBBERY,BURGLARY,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE
AGG ASSAULT,ROBBERY,AUTO THEFT,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
ROBBERY,BURGLARY,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
ROBBERY,ROBBERY,AUTO THEFT,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,BURGLARY,LARCENY-NON VEHICLE
AGG ASSAULT,ROBBERY,AUTO THEFT,AUTO THEFT,AGG ASSAULT,LARCENY-NON VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT,AUTO THEFT,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AUTO THEFT,LARCENY-FROM VEHICLE,AGG ASSAULT,AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,AUTO THEFT
AUTO THEFT,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,AUTO THEFT,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,BURGLARY,AGG ASSAULT
LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,AUTO THEFT
AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,AUTO THEFT
AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,AUTO THEFT,BURGLARY,LARCENY-FROM VEHICLE
AUTO THEFT,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE
LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT
AGG ASSAULT,AGG ASSAULT,LARCENY-NON VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
